Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price 
HDFCBANK,EQ,09-Oct-2023,1534.05,1528,1530,1512,1516,1516.25,1517.69
HDFCBANK,EQ,10-Oct-2023,1516.25,1520.55,1529,1515.2,1526,1524.85,1523.15
HDFCBANK,EQ,11-Oct-2023,1524.85,1530.1,1542.15,1528.5,1542,1539.6,1534.92
HDFCBANK,EQ,12-Oct-2023,1539.6,1536.1,1552,1531.6,1548,1549.85,1541.66
HDFCBANK,EQ,13-Oct-2023,1549.85,1540,1548.8,1529.95,1533.5,1535.75,1539.45
HDFCBANK,EQ,16-Oct-2023,1535.75,1531.5,1534.45,1520.5,1532,1529.6,1529.19
HDFCBANK,EQ,17-Oct-2023,1529.6,1555.75,1555.75,1535,1542.5,1541.2,1542.46
HDFCBANK,EQ,18-Oct-2023,1541.2,1541.2,1541.2,1518.1,1519,1519.75,1524.62
HDFCBANK,EQ,19-Oct-2023,1519.75,1505.4,1526.25,1503.2,1514.5,1514.95,1516.62
HDFCBANK,EQ,20-Oct-2023,1514.95,1505,1527,1505,1523.4,1522.8,1519.35
HDFCBANK,EQ,23-Oct-2023,1522.8,1523.5,1528.75,1500.1,1507,1506.05,1520.08
HDFCBANK,EQ,25-Oct-2023,1506.05,1521,1522.8,1491.45,1494.2,1496.5,1505.86
HDFCBANK,EQ,26-Oct-2023,1496.5,1491.25,1492,1460.25,1462.45,1463.4,1469.55
HDFCBANK,EQ,27-Oct-2023,1463.4,1469.5,1478,1466.9,1472.55,1469.15,1470.94
HDFCBANK,EQ,30-Oct-2023,1469.15,1463.25,1489.95,1461.9,1487.85,1485.1,1479.49
HDFCBANK,EQ,31-Oct-2023,1485.1,1504,1504,1474,1475,1476.5,1482.03
HDFCBANK,EQ,01-Nov-2023,1476.5,1462.25,1477.45,1462.25,1477,1474.5,1469.2
HDFCBANK,EQ,02-Nov-2023,1474.5,1485,1490.5,1467.15,1478.7,1476.75,1472.27
HDFCBANK,EQ,03-Nov-2023,1476.75,1488,1491.4,1481.65,1484.5,1483.75,1487.25
HDFCBANK,EQ,06-Nov-2023,1483.75,1498,1498,1483,1493.8,1494.5,1488.25
HDFCBANK,EQ,07-Nov-2023,1494.5,1494,1494,1477.2,1490,1487.25,1484.48
HDFCBANK,EQ,08-Nov-2023,1487.25,1483.95,1493.45,1481,1491.8,1491.55,1489.03
HDFCBANK,EQ,09-Nov-2023,1491.55,1486,1492.6,1483.5,1486.5,1485.65,1487.69
HDFCBANK,EQ,10-Nov-2023,1485.65,1480.1,1496,1480.05,1495,1491.5,1486.67
HDFCBANK,EQ,12-Nov-2023,1491.5,1500,1502,1496.15,1499,1500,1499.5
HDFCBANK,EQ,13-Nov-2023,1500,1492.1,1495.95,1485.9,1489,1488.8,1490.72
HDFCBANK,EQ,15-Nov-2023,1488.8,1504.1,1510.95,1500.55,1504.8,1504.4,1505.7
HDFCBANK,EQ,16-Nov-2023,1504.4,1509.7,1519,1503.75,1508,1508.35,1511.01
HDFCBANK,EQ,17-Nov-2023,1508.35,1490,1507.5,1489,1505,1505.1,1502.48
HDFCBANK,EQ,20-Nov-2023,1505.1,1513,1513,1501.55,1505.9,1505.2,1505.46
HDFCBANK,EQ,21-Nov-2023,1505.2,1519,1522,1512.1,1518.25,1517.95,1517.79
HDFCBANK,EQ,22-Nov-2023,1517.95,1520,1520,1503.55,1512.9,1512.55,1513.24
HDFCBANK,EQ,23-Nov-2023,1512.55,1508.5,1523.85,1508.5,1521.7,1521.3,1519.21
HDFCBANK,EQ,24-Nov-2023,1521.3,1521.2,1533.15,1519.85,1531.4,1532.1,1529.01
HDFCBANK,EQ,28-Nov-2023,1532.1,1535.2,1537.25,1525.8,1530.95,1528.65,1531.88
HDFCBANK,EQ,29-Nov-2023,1528.65,1533.9,1563,1533,1560.3,1559.15,1547.46
HDFCBANK,EQ,30-Nov-2023,1559.15,1569.15,1572.45,1542.15,1556.6,1558.8,1555.55
HDFCBANK,EQ,01-Dec-2023,1558.8,1557.9,1565.75,1552.1,1552.35,1555.4,1559.16
HDFCBANK,EQ,04-Dec-2023,1555.4,1588,1612,1573.65,1609.15,1609.4,1592.26
HDFCBANK,EQ,05-Dec-2023,1609.4,1636.5,1639,1616.5,1622,1623.7,1626.07
HDFCBANK,EQ,06-Dec-2023,1623.7,1638.45,1638.45,1616.65,1626.3,1627.8,1627.41
HDFCBANK,EQ,07-Dec-2023,1627.8,1625,1634,1616.2,1630.5,1630.45,1628.48
HDFCBANK,EQ,08-Dec-2023,1630.45,1630.45,1655,1630.45,1653,1653.2,1648.92
HDFCBANK,EQ,11-Dec-2023,1653.2,1650.05,1663.7,1647,1650,1651,1653
HDFCBANK,EQ,12-Dec-2023,1651,1654.2,1656.25,1631.85,1634.45,1634.6,1645.41
HDFCBANK,EQ,13-Dec-2023,1634.6,1632.45,1636,1615.1,1633.8,1630.9,1628.14
HDFCBANK,EQ,14-Dec-2023,1630.9,1646,1658.95,1645,1650.45,1650.15,1651.03
HDFCBANK,EQ,15-Dec-2023,1650.15,1650,1668,1646.6,1656.05,1656.55,1655.35
HDFCBANK,EQ,18-Dec-2023,1656.55,1660.7,1664.7,1650.95,1652.5,1655.7,1657.78
HDFCBANK,EQ,19-Dec-2023,1655.7,1650,1658.65,1644.05,1650.5,1652.9,1651.23
HDFCBANK,EQ,20-Dec-2023,1652.9,1658,1668.95,1644.45,1644.75,1657,1662.23
HDFCBANK,EQ,21-Dec-2023,1657,1657,1689.75,1650.25,1685,1686.7,1672.87
HDFCBANK,EQ,22-Dec-2023,1686.7,1683.6,1685.9,1667.1,1668.7,1670.85,1675.74
HDFCBANK,EQ,26-Dec-2023,1670.85,1673.25,1685.95,1668.55,1684.1,1682.45,1678.46
HDFCBANK,EQ,27-Dec-2023,1682.45,1681.5,1706.5,1678.6,1702.1,1703.3,1695.87
HDFCBANK,EQ,28-Dec-2023,1703.3,1709.3,1721.4,1702,1708.85,1705.25,1711.26
HDFCBANK,EQ,29-Dec-2023,1705.25,1697,1714.9,1696,1708.65,1709.25,1707.51
HDFCBANK,EQ,01-Jan-2024,1709.25,1706,1709.15,1692,1692.9,1698.1,1701.52
HDFCBANK,EQ,02-Jan-2024,1698.1,1698.8,1702.8,1688.7,1697.5,1699.1,1697.43
HDFCBANK,EQ,03-Jan-2024,1699.1,1702,1704.7,1668.95,1674.6,1672.9,1681.27
HDFCBANK,EQ,04-Jan-2024,1672.9,1678,1694.95,1670.7,1690.85,1690.85,1681.98
HDFCBANK,EQ,05-Jan-2024,1690.85,1687.15,1704.9,1668.1,1679,1682.2,1679.44
HDFCBANK,EQ,08-Jan-2024,1682.2,1678.5,1682.35,1660,1662.9,1663.45,1671.84
HDFCBANK,EQ,09-Jan-2024,1663.45,1667.15,1677.8,1646.75,1650.95,1650.5,1660.84
HDFCBANK,EQ,10-Jan-2024,1650.5,1643,1659.95,1641.4,1656,1655.95,1653.21
HDFCBANK,EQ,11-Jan-2024,1655.95,1660,1662.9,1643,1649.3,1649,1653.3
HDFCBANK,EQ,12-Jan-2024,1649,1652,1656,1633.6,1643.95,1641.2,1645.1
HDFCBANK,EQ,15-Jan-2024,1641.2,1647.7,1680.9,1643.6,1679.7,1672.8,1666.61
HDFCBANK,EQ,16-Jan-2024,1672.8,1673,1683.65,1658.1,1678,1679.15,1672.44
HDFCBANK,EQ,17-Jan-2024,1679.15,1570,1596.8,1528.4,1542.15,1537.5,1565.65
HDFCBANK,EQ,18-Jan-2024,1537.5,1494,1515,1480.05,1490,1486.15,1495.03
HDFCBANK,EQ,19-Jan-2024,1486.15,1505.95,1510.25,1468.4,1474.9,1470.65,1483.88
HDFCBANK,EQ,20-Jan-2024,1470.65,1483.2,1495.7,1476,1480.65,1478.85,1483.92
HDFCBANK,EQ,23-Jan-2024,1478.85,1465,1474.7,1425,1430.95,1427.35,1442.66
HDFCBANK,EQ,24-Jan-2024,1427.35,1380.25,1458.45,1380.25,1456.3,1455.9,1435.74
HDFCBANK,EQ,25-Jan-2024,1455.9,1452.5,1457.35,1419.4,1440.7,1434.9,1434.16
HDFCBANK,EQ,29-Jan-2024,1434.9,1448.05,1462.8,1445.8,1456.8,1454.65,1454.14
HDFCBANK,EQ,30-Jan-2024,1454.65,1454.55,1463.2,1440.9,1444.7,1444.3,1447.91
HDFCBANK,EQ,31-Jan-2024,1444.3,1439.5,1474.95,1436.8,1462.65,1462.55,1462.25
HDFCBANK,EQ,01-Feb-2024,1462.55,1465.05,1473.6,1456.05,1466.5,1466.35,1465.35
HDFCBANK,EQ,02-Feb-2024,1466.35,1475,1480.85,1442.05,1445.9,1446.15,1461.81
HDFCBANK,EQ,05-Feb-2024,1446.15,1446,1451.9,1434.05,1443.05,1444.85,1442.08
HDFCBANK,EQ,06-Feb-2024,1444.85,1445.55,1449.7,1432.6,1443.55,1444.1,1442.11
HDFCBANK,EQ,07-Feb-2024,1444.1,1453,1453.8,1426.65,1430,1429.95,1435.86
HDFCBANK,EQ,08-Feb-2024,1429.95,1429.85,1438.95,1400.5,1407.25,1403.05,1415.51
HDFCBANK,EQ,09-Feb-2024,1403.05,1392.15,1414.2,1387,1408,1403.6,1402.42
HDFCBANK,EQ,12-Feb-2024,1403.6,1399.65,1413.65,1383.35,1392.4,1390,1394.91
HDFCBANK,EQ,13-Feb-2024,1390,1391.95,1404.35,1384.35,1391.95,1394.45,1394.82
HDFCBANK,EQ,14-Feb-2024,1394.45,1376,1391.5,1363.55,1384.95,1384.05,1373.2
HDFCBANK,EQ,15-Feb-2024,1384.05,1385,1415.5,1384.35,1414.65,1414.05,1402.53
HDFCBANK,EQ,16-Feb-2024,1414.05,1423.9,1427.7,1408.45,1417.05,1419.9,1417.97
HDFCBANK,EQ,19-Feb-2024,1419.9,1429,1429,1415.2,1419,1417.1,1420.94
HDFCBANK,EQ,20-Feb-2024,1417.1,1415,1457.25,1411.8,1453,1454.3,1443.09
HDFCBANK,EQ,21-Feb-2024,1454.3,1464,1464,1435,1436,1439.15,1446.29
HDFCBANK,EQ,22-Feb-2024,1439.15,1417.75,1428.8,1412.2,1422,1419.55,1419.78
HDFCBANK,EQ,23-Feb-2024,1419.55,1422.55,1433.9,1418,1419.45,1420.6,1425.27
HDFCBANK,EQ,26-Feb-2024,1420.6,1413.55,1434.85,1413.55,1421.95,1422.3,1426.02
HDFCBANK,EQ,27-Feb-2024,1422.3,1413.55,1426.7,1413.05,1421.9,1420.15,1419.95
HDFCBANK,EQ,28-Feb-2024,1420.15,1420.15,1424.2,1404,1406.15,1409.4,1414.58
HDFCBANK,EQ,29-Feb-2024,1409.4,1402.1,1410.4,1397.3,1407.8,1403.4,1403.21
HDFCBANK,EQ,01-Mar-2024,1403.4,1400,1432.75,1400,1429.3,1430.75,1419.53
HDFCBANK,EQ,02-Mar-2024,1430.75,1434.55,1436,1428.1,1430.95,1430.75,1431.16
HDFCBANK,EQ,04-Mar-2024,1430.75,1430.95,1437,1424.3,1432,1432.7,1430.81
HDFCBANK,EQ,05-Mar-2024,1432.7,1422,1443,1421.65,1439.2,1440.85,1432.7
HDFCBANK,EQ,06-Mar-2024,1440.85,1433.55,1452.85,1433.55,1442.85,1442.6,1444.3
HDFCBANK,EQ,07-Mar-2024,1442.6,1445.5,1451.05,1441.4,1446,1446.1,1445.23
HDFCBANK,EQ,11-Mar-2024,1446.1,1430,1445.95,1423,1427,1427.8,1431.56
HDFCBANK,EQ,12-Mar-2024,1427.8,1434,1464,1429.25,1460.75,1459.55,1455.21
HDFCBANK,EQ,13-Mar-2024,1459.55,1465.5,1471.6,1450.1,1459.7,1460.4,1461.57
HDFCBANK,EQ,14-Mar-2024,1460.4,1462.1,1466,1444.3,1457,1455.45,1452.98
HDFCBANK,EQ,15-Mar-2024,1455.45,1450,1459.3,1442.25,1454.7,1452.65,1452.16
HDFCBANK,EQ,18-Mar-2024,1452.65,1447,1456,1435.8,1445.75,1446.05,1447.44
HDFCBANK,EQ,19-Mar-2024,1446.05,1435.5,1452.4,1435.5,1449.95,1449.35,1445.73
HDFCBANK,EQ,20-Mar-2024,1449.35,1449.05,1451.65,1424.65,1432,1431.05,1435.82
